t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
22.3600000000,7.3085614236,0.3216213515,1.3713887058,-5.4171907053,0.7407126839,0.0000000000,0.6700292475,0.7407126839,-1.8299707525,0.6312919448,1.1507637238,11180.0000000000
22.3620000000,7.3113299450,0.3107309536,1.3970922789,-5.4730944147,0.7462557813,0.0000000000,0.6704309505,0.7462557813,-1.8295690495,0.6329342318,1.1502608800,11181.0000000000
22.3640000000,7.3141496219,0.2997294507,1.4225396198,-5.5282827919,0.7517941086,0.0000000000,0.6708913752,0.7517941086,-1.8291086248,0.6345505148,1.1497780784,11182.0000000000
22.3660000000,7.3170199140,0.2886183521,1.4477026909,-5.5826765767,0.7573261105,0.0000000000,0.6714122448,0.7573261105,-1.8285877552,0.6361401338,1.1493165175,11183.0000000000
22.3680000000,7.3199402237,0.2773993291,1.4725523494,-5.6361932006,0.7628501638,0.0000000000,0.6719952565,0.7628501638,-1.8280047435,0.6377024194,1.1488773980,11184.0000000000
22.3700000000,7.3229098943,0.2660742211,1.4970584113,-5.6887469613,0.7683645779,0.0000000000,0.6726420762,0.7683645779,-1.8273579238,0.6392366938,1.1484619206,11185.0000000000
22.3720000000,7.3259282076,0.2546450422,1.5211897293,-5.7402492443,0.7738675945,0.0000000000,0.6733543311,0.7738675945,-1.8266456689,0.6407422728,1.1480712820,11186.0000000000
22.3740000000,7.3289943821,0.2431139859,1.5449142888,-5.7906087931,0.7793573889,0.0000000000,0.6741336040,0.7793573889,-1.8258663960,0.6422184664,1.1477066720,11187.0000000000
22.3760000000,7.3321075717,0.2314834311,1.5681993205,-5.8397320295,0.7848320705,0.0000000000,0.6749814259,0.7848320705,-1.8250185741,0.6436645812,1.1473692695,11188.0000000000
22.3780000000,7.3352668641,0.2197559457,1.5910114318,-5.8875234268,0.7902896851,0.0000000000,0.6758992690,0.7902896851,-1.8241007310,0.6450799218,1.1470602388,11189.0000000000
22.3800000000,7.3384712796,0.2079342900,1.6133167557,-5.9338859365,0.7957282164,0.0000000000,0.6768885394,0.7957282164,-1.8231114606,0.6464637924,1.1467807255,11190.0000000000
22.3820000000,7.3417197705,0.1960214199,1.6350811178,-5.9787214666,0.8011455892,0.0000000000,0.6779505695,0.8011455892,-1.8220494305,0.6478154998,1.1465318522,11191.0000000000
22.3840000000,7.3450112206,0.1840204879,1.6562702211,-6.0219314122,0.8065396720,0.0000000000,0.6790866106,0.8065396720,-1.8209133894,0.6491343544,1.1463147142,11192.0000000000
22.3860000000,7.3483444450,0.1719348437,1.6768498476,-6.0634172347,0.8119082813,0.0000000000,0.6802978250,0.8119082813,-1.8197021750,0.6504196734,1.1461303746,11193.0000000000
22.3880000000,7.3517181910,0.1597680337,1.6967860745,-6.1030810860,0.8172491856,0.0000000000,0.6815852788,0.8172491856,-1.8184147212,0.6516707829,1.1459798603,11194.0000000000
22.3900000000,7.3551311381,0.1475237984,1.7160455047,-6.1408264723,0.8225601103,0.0000000000,0.6829499344,0.8225601103,-1.8170500656,0.6528870203,1.1458641568,11195.0000000000
22.3920000000,7.3585819000,0.1352060698,1.7345955082,-6.1765589519,0.8278387433,0.0000000000,0.6843926430,0.8278387433,-1.8156073570,0.6540677369,1.1457842035,11196.0000000000
22.3940000000,7.3620690261,0.1228189658,1.7524044718,-6.2101868576,0.8330827410,0.0000000000,0.6859141381,0.8330827410,-1.8140858619,0.6552123007,1.1457408894,11197.0000000000
22.3960000000,7.3655910036,0.1103667843,1.7694420542,-6.2416220358,0.8382897346,0.0000000000,0.6875150284,0.8382897346,-1.8124849716,0.6563200991,1.1457350482,11198.0000000000
22.3980000000,7.3691462608,0.0978539956,1.7856794434,-6.2707805916,0.8434573377,0.0000000000,0.6891957922,0.8434573377,-1.8108042078,0.6573905413,1.1457674537,11199.0000000000
22.4000000000,7.3727331698,0.0852852325,1.8010896109,-6.2975836283,0.8485831532,0.0000000000,0.6909567717,0.8485831532,-1.8090432283,0.6584230612,1.1458388160,11200.0000000000
22.4020000000,7.3763500510,0.0726652804,1.8156475607,-6.3219579694,0.8536647816,0.0000000000,0.6927981679,0.8536647816,-1.8072018321,0.6594171198,1.1459497769,11201.0000000000
22.4040000000,7.3799951767,0.0599990645,1.8293305668,-6.3438368511,0.8586998289,0.0000000000,0.6947200367,0.8586998289,-1.8052799633,0.6603722082,1.1461009065,11202.0000000000
22.4060000000,7.3836667764,0.0472916367,1.8421183967,-6.3631605721,0.8636859154,0.0000000000,0.6967222851,0.8636859154,-1.8032777149,0.6612878495,1.1462926997,11203.0000000000
22.4080000000,7.3873630417,0.0345481606,1.8539935151,-6.3798770890,0.8686206843,0.0000000000,0.6988046691,0.8686206843,-1.8011953309,0.6621636014,1.1465255729,11204.0000000000
22.4100000000,7.3910821321,0.0217738959,1.8649412646,-6.3939425449,0.8735018102,0.0000000000,0.7009667917,0.8735018102,-1.7990332083,0.6629990584,1.1467998617,11205.0000000000
22.4120000000,7.3948221807,0.0089741815,1.8749500199,-6.4053217208,0.8783270082,0.0000000000,0.7032081024,0.8783270082,-1.7967918976,0.6637938534,1.1471158184,11206.0000000000
22.4140000000,7.3985813004,-0.0038455823,1.8840113113,-6.4139884009,0.8830940423,0.0000000000,0.7055278973,0.8830940423,-1.7944721027,0.6645476601,1.1474736107,11207.0000000000
22.4160000000,7.4023575907,-0.0166799521,1.8921199167,-6.4199256435,0.8878007342,0.0000000000,0.7079253204,0.8878007342,-1.7920746796,0.6652601938,1.1478733204,11208.0000000000
22.4180000000,7.4061491436,-0.0295234600,1.8992739176,-6.4231259515,0.8924449711,0.0000000000,0.7103993660,0.8924449711,-1.7896006340,0.6659312131,1.1483149426,11209.0000000000
22.4200000000,7.4099540508,-0.0423706324,1.9054747203,-6.4235913401,0.8970247136,0.0000000000,0.7129488815,0.8970247136,-1.7870511185,0.6665605208,1.1487983862,11210.0000000000
22.4220000000,7.4137704101,-0.0552160094,1.9107270404,-6.4213332994,0.9015380033,0.0000000000,0.7155725721,0.9015380033,-1.7844274279,0.6671479646,1.1493234736,11211.0000000000
22.4240000000,7.4175963319,-0.0680541635,1.9150388519,-6.4163726524,0.9059829695,0.0000000000,0.7182690051,0.9059829695,-1.7817309949,0.6676934374,1.1498899426,11212.0000000000
22.4260000000,7.4214299458,-0.0808797180,1.9184213005,-6.4087393139,0.9103578353,0.0000000000,0.7210366164,0.9103578353,-1.7789633836,0.6681968778,1.1504974475,11213.0000000000
22.4280000000,7.4252694069,-0.0936873645,1.9208885853,-6.3984719527,0.9146609231,0.0000000000,0.7238737168,0.9146609231,-1.7761262832,0.6686582693,1.1511455613,11214.0000000000
22.4300000000,7.4291129013,-0.1064718808,1.9224578095,-6.3856175675,0.9188906596,0.0000000000,0.7267784992,0.9188906596,-1.7732215008,0.6690776405,1.1518337783,11215.0000000000
22.4320000000,7.4329586525,-0.1192281464,1.9231488043,-6.3702309831,0.9230455798,0.0000000000,0.7297490464,0.9230455798,-1.7702509536,0.6694550644,1.1525615170,11216.0000000000
22.4340000000,7.4368049259,-0.1319511578,1.9229839286,-6.3523742791,0.9271243302,0.0000000000,0.7327833398,0.9271243302,-1.7672166602,0.6697906567,1.1533281237,11217.0000000000
22.4360000000,7.4406500340,-0.1446360424,1.9219878504,-6.3321161615,0.9311256714,0.0000000000,0.7358792677,0.9311256714,-1.7641207323,0.6700845755,1.1541328762,11218.0000000000
22.4380000000,7.4444923409,-0.1572780711,1.9201873117,-6.3095312904,0.9350484797,0.0000000000,0.7390346344,0.9350484797,-1.7609653656,0.6703370194,1.1549749877,11219.0000000000
22.4400000000,7.4483302660,-0.1698726695,1.9176108828,-6.2846995747,0.9388917481,0.0000000000,0.7422471694,0.9388917481,-1.7577528306,0.6705482258,1.1558536113,11220.0000000000
22.4420000000,7.4521622873,-0.1824154277,1.9142887098,-6.2577054480,0.9426545866,0.0000000000,0.7455145366,0.9426545866,-1.7544854634,0.6707184697,1.1567678444,11221.0000000000
22.4440000000,7.4559869446,-0.1949021084,1.9102522591,-6.2286371357,0.9463362214,0.0000000000,0.7488343438,0.9463362214,-1.7511656562,0.6708480611,1.1577167332,11222.0000000000
22.4460000000,7.4598028418,-0.2073286542,1.9055340639,-6.1975859259,0.9499359940,0.0000000000,0.7522041513,0.9499359940,-1.7477958487,0.6709373434,1.1586992776,11223.0000000000
22.4480000000,7.4636086486,-0.2196911925,1.9001674740,-6.1646454543,0.9534533591,0.0000000000,0.7556214814,0.9534533591,-1.7443785186,0.6709866909,1.1597144362,11224.0000000000
22.4500000000,7.4674031020,-0.2319860400,1.8941864151,-6.1299110112,0.9568878824,0.0000000000,0.7590838266,0.9568878824,-1.7409161734,0.6709965072,1.1607611304,11225.0000000000
22.4520000000,7.4711850074,-0.2442097048,1.8876251575,-6.0934788802,0.9602392377,0.0000000000,0.7625886587,0.9602392377,-1.7374113413,0.6709672222,1.1618382496,11226.0000000000
22.4540000000,7.4749532388,-0.2563588881,1.8805180985,-6.0554457135,0.9635072033,0.0000000000,0.7661334359,0.9635072033,-1.7338665641,0.6708992904,1.1629446556,11227.0000000000
22.4560000000,7.4787067388,-0.2684304846,1.8728995595,-6.0159079507,0.9666916586,0.0000000000,0.7697156112,0.9666916586,-1.7302843888,0.6707931885,1.1640791873,11228.0000000000
22.4580000000,7.4824445187,-0.2804215807,1.8648035988,-5.9749612838,0.9697925796,0.0000000000,0.7733326391,0.9697925796,-1.7266673609,0.6706494130,1.1652406648,11229.0000000000
22.4600000000,7.4861656574,-0.2923294534,1.8562638421,-5.9327001721,0.9728100351,0.0000000000,0.7769819824,0.9728100351,-1.7230180176,0.6704684781,1.1664278936,11230.0000000000
22.4620000000,7.4898693003,-0.3041515670,1.8473133307,-5.8892174080,0.9757441815,0.0000000000,0.7806611185,0.9757441815,-1.7193388815,0.6702509137,1.1676396685,11231.0000000000
22.4640000000,7.4935546584,-0.3158855692,1.8379843865,-5.8446037337,0.9785952585,0.0000000000,0.7843675450,0.9785952585,-1.7156324550,0.6699972631,1.1688747776,11232.0000000000
22.4660000000,7.4972210066,-0.3275292870,1.8283084965,-5.7989475102,0.9813635845,0.0000000000,0.7880987846,0.9813635845,-1.7119012154,0.6697080809,1.1701320056,11233.0000000000
22.4680000000,7.5008676815,-0.3390807214,1.8183162126,-5.7523344345,0.9840495510,0.0000000000,0.7918523905,0.9840495510,-1.7081476095,0.6693839316,1.1714101367,11234.0000000000
22.4700000000,7.5044940802,-0.3505380421,1.8080370695,-5.7048473061,0.9866536185,0.0000000000,0.7956259497,0.9866536185,-1.7043740503,0.6690253871,1.1727079586,11235.0000000000
