t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.1320000000,4.7069881842,1.5276212155,-0.0368583398,1.9415106011,0.9934196731,0.0000000000,3.5485422206,0.9934196731,1.0485422206,0.5009712869,3.5246022614,66.0000000000
0.1340000000,4.7069166806,1.5315308117,-0.0346242943,1.9680663872,0.9935271792,0.0000000000,3.5447079182,0.9935271792,1.0447079182,0.5009905365,3.5226581933,67.0000000000
0.1360000000,4.7068497715,1.5354934042,-0.0322634649,1.9945068595,0.9936269167,0.0000000000,3.5408154346,0.9936269167,1.0408154346,0.5010081129,3.5206846391,68.0000000000
0.1380000000,4.7067877125,1.5395087617,-0.0297738554,2.0208312168,0.9937184671,0.0000000000,3.5368647781,0.9937184671,1.0368647781,0.5010239299,3.5186816042,69.0000000000
0.1400000000,4.7067307633,1.5435766512,-0.0271534610,2.0470386887,0.9938014057,0.0000000000,3.5328559599,0.9938014057,1.0328559599,0.5010379002,3.5166490953,70.0000000000
0.1420000000,4.7066791872,1.5476968381,-0.0244002678,2.0731285350,0.9938753014,0.0000000000,3.5287889936,0.9938753014,1.0287889936,0.5010499352,3.5145871207,71.0000000000
0.1440000000,4.7066332521,1.5518690864,-0.0215122520,2.0991000461,0.9939397170,0.0000000000,3.5246638956,0.9939397170,1.0246638956,0.5010599451,3.5124956898,72.0000000000
0.1460000000,4.7065932295,1.5560931589,-0.0184873802,2.1249525419,0.9939942089,0.0000000000,3.5204806850,0.9939942089,1.0204806850,0.5010678390,3.5103748133,73.0000000000
0.1480000000,4.7065593952,1.5603688168,-0.0153236082,2.1506853723,0.9940383273,0.0000000000,3.5162393840,0.9940383273,1.0162393840,0.5010735248,3.5082245038,74.0000000000
0.1500000000,4.7065320290,1.5646958202,-0.0120188814,2.1762979167,0.9940716161,0.0000000000,3.5119400178,0.9940716161,1.0119400178,0.5010769093,3.5060447751,75.0000000000
0.1520000000,4.7065114150,1.5690739279,-0.0085711337,2.2017895833,0.9940936127,0.0000000000,3.5075826147,0.9940936127,1.0075826147,0.5010778979,3.5038356426,76.0000000000
0.1540000000,4.7064978412,1.5735028976,-0.0049782874,2.2271598093,0.9941038483,0.0000000000,3.5031672065,0.9941038483,1.0031672065,0.5010763951,3.5015971235,77.0000000000
0.1560000000,4.7064915999,1.5779824858,-0.0012382528,2.2524080606,0.9941018478,0.0000000000,3.4986938282,0.9941018478,0.9986938282,0.5010723040,3.4993292365,78.0000000000
